Date,Close/Last,Volume,Open,High,Low
03/05/2024,82.04,"36,719",82.97,83.14,81.73
03/04/2024,82.8,"25,928",83.59,84.07,82.58
03/01/2024,83.55,"30,577",81.97,84.35,81.81
02/29/2024,83.62,510,83.65,83.74,83.04
02/28/2024,83.68,"5,212",83.4,84.3,82.62
02/27/2024,83.65,"8,602",82.55,83.74,82.1
02/26/2024,82.53,"14,130",81.59,83.06,81.02
02/23/2024,81.62,"17,605",83.42,83.48,81.44
02/22/2024,83.67,"27,034",83.16,83.97,82.34
02/21/2024,83.03,"22,037",82.56,83.17,81.67
02/20/2024,82.34,"33,363",83.3,83.63,82.05
02/16/2024,83.47,"33,437",82.83,83.66,81.9
02/15/2024,82.86,"29,850",81.52,83.25,80.72
02/14/2024,81.6,"27,913",82.66,83.61,81.39
02/13/2024,82.77,"28,775",82.05,83.23,81.96
02/12/2024,82,"22,351",81.76,82.21,80.79
02/09/2024,82.19,"25,784",81.73,82.46,81.21
02/08/2024,81.63,"31,894",78.7,81.89,79.02
03/05/2024,82.04,"36,719",82.97,83.14,81.73
03/04/2024,82.8,"25,928",83.59,84.07,82.58
03/01/2024,83.55,"30,577",81.97,84.35,81.81
02/29/2024,83.62,510,83.65,83.74,83.04
02/28/2024,83.68,"5,212",83.4,84.3,82.62
02/27/2024,83.65,"8,602",82.55,83.74,82.1
02/26/2024,82.53,"14,130",81.59,83.06,81.02
02/23/2024,81.62,"17,605",83.42,83.48,81.44
02/22/2024,83.67,"27,034",83.16,83.97,82.34
02/21/2024,83.03,"22,037",82.56,83.17,81.67
02/20/2024,82.34,"33,363",83.3,83.63,82.05
02/16/2024,83.47,"33,437",82.83,83.66,81.9
02/15/2024,82.86,"29,850",81.52,83.25,80.72
02/14/2024,81.6,"27,913",82.66,83.61,81.39
02/13/2024,82.77,"28,775",82.05,83.23,81.96
02/12/2024,82,"22,351",81.76,82.21,80.79
02/09/2024,82.19,"25,784",81.73,82.46,81.21
02/08/2024,81.63,"31,894",78.7,81.89,79.02
02/07/2024,79.21,"25,463",78.7,79.47,78.49
02/06/2024,78.59,"24,332",77.94,78.85,78.03
02/05/2024,77.99,"24,013",77.66,78.33,76.62
02/02/2024,77.33,"30,739",78.92,79.44,76.86
02/01/2024,78.7,"48,196",80.67,80.5,78.58
01/31/2024,81.71,410,82.59,82.8,81.88
01/30/2024,82.87,"6,148",82.57,83.25,82.21
1/29/2024,82.4,"11,814",84.13,84.4,82.04
1/26/2024,83.55,"17,700",82.39,83.83,81.32
1/25/2024,82.43,"19,606",80.31,82.56,80.07
1/24/2024,80.04,"21,368",79.74,80.74,79.05
1/23/2024,79.55,"26,460",79.91,80.44,78.7
1/22/2024,80.06,"25,569",78.85,80.55,77.82
1/19/2024,78.56,"22,922",78.98,79.75,78.33
1/18/2024,79.1,"26,942",78.05,79.3,77.34
1/17/2024,77.88,"31,724",77.86,78.18,76.5
1/16/2024,77.79,"45,242",79.24,79.39,77.61
01/12/2024,78.29,"31,115",78.46,80.74,77.93
01/11/2024,77.41,"34,673",76.74,79.09,76.65
