Date,Close/Last,Volume,Open,High,Low
03/04/2024,"6,586.00",N/A,"6,586.00","6,586.00","6,586.00"
03/01/2024,"6,327.00",N/A,"6,327.00","6,327.00","6,327.00"
02/29/2024,"6,049.00",N/A,"6,049.00","6,049.00","6,049.00"
02/28/2024,"5,994.00",N/A,"5,994.00","5,994.00","5,994.00"
02/27/2024,"6,455.00",N/A,"6,455.00","6,455.00","6,455.00"
02/26/2024,"6,557.00",N/A,"6,557.00","6,557.00","6,557.00"
02/23/2024,"6,256.00",N/A,"6,256.00","6,256.00","6,256.00"
02/22/2024,"5,860.00",N/A,"5,860.00","5,860.00","5,860.00"
02/21/2024,"5,861.00",N/A,"5,861.00","5,861.00","5,861.00"
02/20/2024,"5,629.00",N/A,"5,629.00","5,629.00","5,629.00"
02/16/2024,"5,341.00",N/A,"5,341.00","5,341.00","5,341.00"
02/15/2024,"5,605.00",N/A,"5,605.00","5,605.00","5,605.00"
02/14/2024,"5,949.00",N/A,"5,949.00","5,949.00","5,949.00"
02/13/2024,"6,001.00",N/A,"6,001.00","6,001.00","6,001.00"
02/12/2024,"5,860.00",N/A,"5,860.00","5,860.00","5,860.00"
02/09/2024,"5,888.00",N/A,"5,888.00","5,888.00","5,888.00"
02/08/2024,"5,805.00",N/A,"5,805.00","5,805.00","5,805.00"
02/07/2024,"5,410.00",N/A,"5,410.00","5,410.00","5,410.00"
02/06/2024,"5,220.00",N/A,"5,220.00","5,220.00","5,220.00"
02/05/2024,"5,189.00",N/A,"5,189.00","5,189.00","5,189.00"
02/02/2024,"5,009.00",N/A,"5,009.00","5,009.00","5,009.00"
02/01/2024,"4,956.00",N/A,"4,956.00","4,956.00","4,956.00"
01/31/2024,"4,822.00",N/A,"4,822.00","4,822.00","4,822.00"
01/30/2024,"4,805.00",N/A,"4,805.00","4,805.00","4,805.00"
01/29/2024,"4,732.00",N/A,"4,732.00","4,732.00","4,732.00"
01/26/2024,"4,672.00",N/A,"4,672.00","4,672.00","4,672.00"
01/25/2024,"4,625.00",N/A,"4,625.00","4,625.00","4,625.00"
01/24/2024,"4,785.00",N/A,"4,785.00","4,785.00","4,785.00"
01/23/2024,"4,634.00",N/A,"4,634.00","4,634.00","4,634.00"
01/22/2024,"4,583.00",N/A,"4,583.00","4,583.00","4,583.00"
01/19/2024,"4,583.00",N/A,"4,583.00","4,583.00","4,583.00"
01/18/2024,"4,458.00",N/A,"4,458.00","4,458.00","4,458.00"
01/17/2024,"4,448.00",N/A,"4,448.00","4,448.00","4,448.00"
01/16/2024,"4,429.00",N/A,"4,429.00","4,429.00","4,429.00"
01/12/2024,"4,323.00",N/A,"4,323.00","4,323.00","4,323.00"
01/11/2024,"4,274.00",N/A,"4,274.00","4,274.00","4,274.00"
01/10/2024,"4,206.00",N/A,"4,206.00","4,206.00","4,206.00"
01/09/2024,"4,162.00",N/A,"4,162.00","4,162.00","4,162.00"
01/08/2024,"4,094.00",N/A,"4,094.00","4,094.00","4,094.00"
01/05/2024,"4,204.00",N/A,"4,204.00","4,204.00","4,204.00"
01/04/2024,"4,260.00",N/A,"4,260.00","4,260.00","4,260.00"
01/03/2024,"4,238.00",N/A,"4,238.00","4,238.00","4,238.00"
01/02/2024,"4,275.00",N/A,"4,275.00","4,275.00","4,275.00"
12/29/2023,"4,196.00",N/A,"4,196.00","4,196.00","4,196.00"
12/28/2023,"4,256.00",N/A,"4,256.00","4,256.00","4,256.00"
12/27/2023,"4,280.00",N/A,"4,280.00","4,280.00","4,280.00"
12/26/2023,"4,283.00",N/A,"4,283.00","4,283.00","4,283.00"
12/22/2023,"4,311.00",N/A,"4,311.00","4,311.00","4,311.00"
12/21/2023,"4,288.00",N/A,"4,288.00","4,288.00","4,288.00"
12/20/2023,"4,309.00",N/A,"4,309.00","4,309.00","4,309.00"
12/19/2023,"4,289.00",N/A,"4,289.00","4,289.00","4,289.00"
12/18/2023,"4,271.00",N/A,"4,271.00","4,271.00","4,271.00"
12/15/2023,"4,244.00",N/A,"4,244.00","4,244.00","4,244.00"
12/14/2023,"4,267.00",N/A,"4,267.00","4,267.00","4,267.00"
12/13/2023,"4,255.00",N/A,"4,255.00","4,255.00","4,255.00"
12/12/2023,"4,235.00",N/A,"4,235.00","4,235.00","4,235.00"
12/11/2023,"4,211.00",N/A,"4,211.00","4,211.00","4,211.00"
12/08/2023,"4,271.00",N/A,"4,271.00","4,271.00","4,271.00"
12/07/2023,"4,200.00",N/A,"4,200.00","4,200.00","4,200.00"
12/06/2023,"4,126.00",N/A,"4,126.00","4,126.00","4,126.00"
12/05/2023,"4,106.00",N/A,"4,106.00","4,106.00","4,106.00"
12/04/2023,"4,171.00",N/A,"4,171.00","4,171.00","4,171.00"
12/01/2023,"4,201.00",N/A,"4,201.00","4,201.00","4,201.00"
11/30/2023,"4,277.00",N/A,"4,277.00","4,277.00","4,277.00"
11/29/2023,"4,273.00",N/A,"4,273.00","4,273.00","4,273.00"
11/28/2023,"4,201.00",N/A,"4,201.00","4,201.00","4,201.00"
11/27/2023,"4,130.00",N/A,"4,130.00","4,130.00","4,130.00"
11/24/2023,"4,089.00",N/A,"4,089.00","4,089.00","4,089.00"
11/22/2023,"4,084.00",N/A,"4,084.00","4,084.00","4,084.00"
11/21/2023,"4,118.00",N/A,"4,118.00","4,118.00","4,118.00"
11/20/2023,"4,051.00",N/A,"4,051.00","4,051.00","4,051.00"
11/17/2023,"4,108.00",N/A,"4,108.00","4,108.00","4,108.00"
11/16/2023,"4,043.00",N/A,"4,043.00","4,043.00","4,043.00"
11/15/2023,"3,939.00",N/A,"3,939.00","3,939.00","3,939.00"
11/14/2023,"3,946.00",N/A,"3,946.00","3,946.00","3,946.00"
11/13/2023,"4,051.00",N/A,"4,051.00","4,051.00","4,051.00"
11/10/2023,"3,991.00",N/A,"3,991.00","3,991.00","3,991.00"
11/09/2023,"3,949.00",N/A,"3,949.00","3,949.00","3,949.00"
11/08/2023,"3,916.00",N/A,"3,916.00","3,916.00","3,916.00"
11/07/2023,"3,883.00",N/A,"3,883.00","3,883.00","3,883.00"
11/06/2023,"3,898.00",N/A,"3,898.00","3,898.00","3,898.00"
11/03/2023,"3,898.00",N/A,"3,898.00","3,898.00","3,898.00"
11/02/2023,"3,865.00",N/A,"3,865.00","3,865.00","3,865.00"
11/01/2023,"3,817.00",N/A,"3,817.00","3,817.00","3,817.00"
10/31/2023,"3,817.00",N/A,"3,817.00","3,817.00","3,817.00"
10/30/2023,"3,826.00",N/A,"3,826.00","3,826.00","3,826.00"
10/27/2023,"3,852.00",N/A,"3,852.00","3,852.00","3,852.00"
10/26/2023,"3,810.00",N/A,"3,810.00","3,810.00","3,810.00"
10/25/2023,"3,735.00",N/A,"3,735.00","3,735.00","3,735.00"
10/24/2023,"3,729.00",N/A,"3,729.00","3,729.00","3,729.00"
10/23/2023,"3,759.00",N/A,"3,759.00","3,759.00","3,759.00"
10/20/2023,"3,694.00",N/A,"3,694.00","3,694.00","3,694.00"
10/19/2023,"3,648.00",N/A,"3,648.00","3,648.00","3,648.00"
10/18/2023,"3,639.00",N/A,"3,639.00","3,639.00","3,639.00"
10/17/2023,"3,635.00",N/A,"3,635.00","3,635.00","3,635.00"
10/16/2023,"3,591.00",N/A,"3,591.00","3,591.00","3,591.00"
10/13/2023,"3,499.00",N/A,"3,499.00","3,499.00","3,499.00"
10/12/2023,"3,490.00",N/A,"3,490.00","3,490.00","3,490.00"
10/11/2023,"3,432.00",N/A,"3,432.00","3,432.00","3,432.00"
10/10/2023,"3,474.00",N/A,"3,474.00","3,474.00","3,474.00"
10/09/2023,"3,435.00",N/A,"3,435.00","3,435.00","3,435.00"
10/06/2023,"3,453.00",N/A,"3,453.00","3,453.00","3,453.00"
10/05/2023,"3,400.00",N/A,"3,400.00","3,400.00","3,400.00"
10/04/2023,"3,431.00",N/A,"3,431.00","3,431.00","3,431.00"
10/03/2023,"3,428.00",N/A,"3,428.00","3,428.00","3,428.00"
10/02/2023,"3,502.00",N/A,"3,502.00","3,502.00","3,502.00"
09/29/2023,"3,418.00",N/A,"3,418.00","3,418.00","3,418.00"
09/28/2023,"3,459.00",N/A,"3,459.00","3,459.00","3,459.00"
09/27/2023,"3,416.00",N/A,"3,416.00","3,416.00","3,416.00"
09/26/2023,"3,500.00",N/A,"3,500.00","3,500.00","3,500.00"
09/25/2023,"3,496.00",N/A,"3,496.00","3,496.00","3,496.00"
09/22/2023,"3,582.00",N/A,"3,582.00","3,582.00","3,582.00"
09/21/2023,"3,595.00",N/A,"3,595.00","3,595.00","3,595.00"
09/20/2023,"3,570.00",N/A,"3,570.00","3,570.00","3,570.00"
09/19/2023,"3,642.00",N/A,"3,642.00","3,642.00","3,642.00"
09/18/2023,"3,621.00",N/A,"3,621.00","3,621.00","3,621.00"
09/15/2023,"3,757.00",N/A,"3,757.00","3,757.00","3,757.00"
09/14/2023,"3,730.00",N/A,"3,730.00","3,730.00","3,730.00"
09/13/2023,"3,726.00",N/A,"3,726.00","3,726.00","3,726.00"
09/12/2023,"3,656.00",N/A,"3,656.00","3,656.00","3,656.00"
09/11/2023,"3,656.00",N/A,"3,656.00","3,656.00","3,656.00"
09/08/2023,"3,654.00",N/A,"3,654.00","3,654.00","3,654.00"
09/07/2023,"3,612.00",N/A,"3,612.00","3,612.00","3,612.00"
