Date,Close/Last,Volume,Open,High,Low
2014-03-05,"2,970.00",,"2,970.00","2,970.00","2,970.00"
2014-03-06,"2,961.00",,"2,961.00","2,961.00","2,961.00"
2014-03-07,"2,981.00",1.0,"2,965.00","2,965.00","2,965.00"
2014-03-08,"2,981.00",1.0,"2,965.00","2,965.00","2,965.00"
2014-03-09,"2,981.00",1.0,"2,965.00","2,965.00","2,965.00"
2014-03-10,"2,984.00",1.0,"2,983.00","2,983.00","2,983.00"
2014-03-11,"3,006.00",1.0,"3,021.00","3,021.00","3,021.00"
2014-03-12,"2,946.00",,"2,946.00","2,946.00","2,946.00"
2014-03-13,"3,006.00",,"3,006.00","3,006.00","3,006.00"
2014-03-14,"2,992.00",,"2,992.00","2,992.00","2,992.00"
2014-03-15,"2,992.00",,"2,992.00","2,992.00","2,992.00"
2014-03-16,"2,992.00",,"2,992.00","2,992.00","2,992.00"
2014-03-17,"3,030.00",,"3,030.00","3,030.00","3,030.00"
2014-03-18,"3,014.00",,"3,014.00","3,014.00","3,014.00"
2014-03-19,"3,025.00",,"3,025.00","3,025.00","3,025.00"
2014-03-20,"2,974.00",1.0,"2,990.00","2,990.00","2,990.00"
2014-03-21,"2,957.00",1.0,"2,989.00","2,989.00","2,989.00"
2014-03-22,"2,957.00",1.0,"2,989.00","2,989.00","2,989.00"
2014-03-23,"2,957.00",1.0,"2,989.00","2,989.00","2,989.00"
2014-03-24,"2,940.00",,"2,940.00","2,940.00","2,940.00"
2014-03-25,"2,949.00",,"2,949.00","2,949.00","2,949.00"
2014-03-26,"2,963.00",,"2,963.00","2,963.00","2,963.00"
2014-03-27,"2,955.00",,"2,955.00","2,955.00","2,955.00"
2014-03-28,"2,983.00",,"2,983.00","2,983.00","2,983.00"
2014-03-29,"2,983.00",,"2,983.00","2,983.00","2,983.00"
2014-03-30,"2,983.00",,"2,983.00","2,983.00","2,983.00"
2014-03-31,"2,955.00",,"2,955.00","2,955.00","2,955.00"
2014-04-01,"2,943.00",2.0,"2,940.00","2,950.00","2,940.00"
2014-04-02,"2,917.00",,"2,917.00","2,917.00","2,917.00"
2014-04-03,"2,917.00",,"2,917.00","2,917.00","2,917.00"
2014-04-04,"2,966.00",,"2,966.00","2,966.00","2,966.00"
2014-04-05,"2,966.00",,"2,966.00","2,966.00","2,966.00"
2014-04-06,"2,966.00",,"2,966.00","2,966.00","2,966.00"
2014-04-07,"2,959.00",,"2,959.00","2,959.00","2,959.00"
2014-04-08,"2,992.00",,"2,992.00","2,992.00","2,992.00"
2014-04-09,"3,011.00",1.0,"3,013.00","3,013.00","3,013.00"
2014-04-10,"2,970.00",,"2,970.00","2,970.00","2,970.00"
2014-04-11,"2,987.00",,"2,987.00","2,987.00","2,987.00"
2014-04-12,"2,987.00",,"2,987.00","2,987.00","2,987.00"
2014-04-13,"2,987.00",,"2,987.00","2,987.00","2,987.00"
2014-04-14,"2,979.00",8.0,"2,948.00","2,948.00","2,948.00"
2014-04-15,"2,951.00",1.0,"2,979.00","2,979.00","2,979.00"
2014-04-16,"2,979.00",,"2,979.00","2,979.00","2,979.00"
2014-04-17,"3,020.00",2.0,"3,043.00","3,043.00","3,012.00"
