name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2014-09-01,31,22.3,25.6,37.3,22.3,27,22.8,85.5,0.5,100,4.17,rain,,,,18.4,254.9,1013.3,78.9,8.8,239.9,20.8,9,,2014-09-01T06:13:45,2014-09-01T18:28:26,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-02,30,21.9,24.9,37.3,21.9,25.9,23,89.9,1,100,4.17,rain,,,,18.4,243.5,1013.3,89.2,9.1,165.8,14.4,6,,2014-09-02T06:13:37,2014-09-02T18:27:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-03,29,21.7,25.2,31.9,21.7,26.3,22.6,86.1,3.2,100,8.33,rain,,,,18.4,248.7,1013.1,75.1,8.5,219.3,18.9,8,,2014-09-03T06:13:29,2014-09-03T18:27:26,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-04,31,21.4,25.8,35.6,21.4,27.2,22.4,82.9,0.1,100,4.17,rain,,,,14.8,265.5,1012.9,70.2,9,254.3,22,9,,2014-09-04T06:13:20,2014-09-04T18:26:56,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-05,31.1,21.9,25.7,34.6,21.9,26.9,22.7,84.6,0.6,100,25,rain,,,,14.8,247.3,1011.9,81.1,9.6,154.2,13.2,5,,2014-09-05T06:13:11,2014-09-05T18:26:25,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-06,30.9,22.2,25.6,35.4,22.2,26.9,22.4,84.4,0.5,100,8.33,rain,,,,18.4,239.7,1011.5,81,9.1,202.9,17.5,6,,2014-09-06T06:13:02,2014-09-06T18:25:54,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-07,32,21.5,25.9,40.5,21.5,27.9,22.9,84.1,1.3,100,37.5,rain,,,,18.4,219.7,1013.7,81.4,9.9,211.8,18.2,8,,2014-09-07T06:12:52,2014-09-07T18:25:22,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-08,29.2,21.6,25.1,32.1,21.6,26.1,22.1,84.4,0.1,100,4.17,rain,,,,14.8,263.3,1015.3,88.4,8.8,151.4,12.9,5,,2014-09-08T06:12:43,2014-09-08T18:24:51,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-09,29.1,21.4,25.1,32.6,21.4,26.2,22.2,84.9,1.1,100,12.5,rain,,,,18.4,241.3,1013.5,81.8,9.3,192,16.4,7,,2014-09-09T06:12:33,2014-09-09T18:24:19,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-10,29,21.6,25,32.6,21.6,26.1,22.4,86.2,12,100,4.17,rain,,,,14.8,241.6,1012.7,78.7,9.1,173.6,15,6,,2014-09-10T06:12:23,2014-09-10T18:23:47,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-11,32,20.6,25.3,35.8,20.6,26.5,22.1,83.9,0.2,100,4.17,rain,,,,18.4,271,1012.9,72.9,9.7,235.6,20.4,9,,2014-09-11T06:12:14,2014-09-11T18:23:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-12,29.7,21.9,24.3,34.2,21.9,24.9,22.4,89.3,6,100,4.17,rain,,,,18.4,356.1,1012.2,68.4,8.1,210.1,18,7,,2014-09-12T06:12:04,2014-09-12T18:22:43,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-13,32,21,24.9,39.1,21,26.3,22.4,86.5,0.1,100,4.17,rain,,,,18.4,203.9,1012.6,69.4,7.7,293.1,25.2,10,,2014-09-13T06:11:53,2014-09-13T18:22:10,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-14,32,21,26,35.8,21,27.4,22.3,81.9,0.6,100,12.5,rain,,,,18.4,309.1,1013.3,67.8,9.3,289.3,25,10,,2014-09-14T06:11:43,2014-09-14T18:21:38,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-15,32,22.4,26.3,36.8,22.4,28.1,22.7,81.4,0.9,100,25,rain,,,,18.4,285.3,1013.2,77.2,9,193.5,16.5,7,,2014-09-15T06:11:33,2014-09-15T18:21:06,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-16,31.1,22.5,25.7,35.5,22.5,27.1,22.8,85.1,20,100,4.17,rain,,,,18.4,278.4,1012.9,80.9,8.8,112,9.8,4,,2014-09-16T06:11:23,2014-09-16T18:20:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-17,31,22,25.6,35.6,22,27,22.5,84.7,37,100,4.17,rain,,,,18.4,233.5,1012.5,83,8.7,154.4,13.4,6,,2014-09-17T06:11:13,2014-09-17T18:20:00,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-18,32,22,26.2,35.9,22,27.7,22.7,82.7,44,100,4.17,rain,,,,22.3,261,1012.4,73.7,9.7,146.9,12.7,4,,2014-09-18T06:11:02,2014-09-18T18:19:28,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-19,29,22.3,24.6,33.7,22.3,25.3,22.8,90.1,24,100,12.5,rain,,,,18.4,234.2,1012.8,83.4,8.2,266.2,23,9,,2014-09-19T06:10:52,2014-09-19T18:18:55,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-20,31,22.1,26,35.5,22.1,27.3,22.8,84.1,1.1,100,25,rain,,,,11.2,240.6,1013.2,74.1,9.2,249.7,21.5,9,,2014-09-20T06:10:42,2014-09-20T18:18:23,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-21,29,22,24.5,32.8,22,25.1,22.3,88.6,21,100,8.33,rain,,,,18.4,231.1,1013.6,85.7,8.8,84.8,7.3,3,,2014-09-21T06:10:32,2014-09-21T18:17:50,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-22,29.9,21.5,25.6,34.3,21.5,27,23,86.2,3,100,8.33,rain,,,,14.8,269.5,1012.7,81,8.7,265.7,22.9,9,,2014-09-22T06:10:22,2014-09-22T18:17:18,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-23,33,22,25.7,42,22,27.3,23.2,87.3,1.3,100,25,rain,,,,14.8,229,1013.4,70.9,9.4,211.9,18.4,8,,2014-09-23T06:10:12,2014-09-23T18:16:46,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-24,31.9,22.3,25.6,36.7,22.3,26.7,22.8,86,8,100,4.17,rain,,,,14.8,261.8,1013.3,82,9.2,110,9.5,4,,2014-09-24T06:10:02,2014-09-24T18:16:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-25,31,21.9,26.1,36.6,21.9,27.9,23.1,84.7,0.6,100,16.67,rain,,,,14.8,260.1,1013.3,70.5,9.2,244.3,21.4,9,,2014-09-25T06:09:53,2014-09-25T18:15:42,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-26,33,22.1,27,36.9,22.1,28.7,22.7,79.1,2.1,100,29.17,rain,,,,14.8,323.8,1013.6,63.3,9.5,230.2,19.8,8,,2014-09-26T06:09:43,2014-09-26T18:15:10,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-27,31,21,25.3,35.6,21,26.7,22.6,86.2,14,100,8.33,rain,,,,18.4,240.7,1013.3,75.2,8.6,192.9,16.8,7,,2014-09-27T06:09:34,2014-09-27T18:14:38,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-28,30,22.4,25.5,34.2,22.4,26.8,22.7,85.8,10,100,4.17,rain,,,,14.8,233.8,1013.3,81.6,9.7,176.9,15.2,6,,2014-09-28T06:09:24,2014-09-28T18:14:07,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-29,32,21.9,25.7,36.8,21.9,27,23,86,1.4,100,25,rain,,,,14.8,248.2,1013.4,70.7,9.7,244,21,8,,2014-09-29T06:09:16,2014-09-29T18:13:35,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-09-30,30.9,21.9,24.5,36.3,21.9,25.4,22.5,88.9,6,100,8.33,rain,,,,33.5,236.6,1013.2,85.6,9.3,198.9,17.3,7,,2014-09-30T06:09:07,2014-09-30T18:13:05,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-01,31,19.9,25.4,33.8,19.9,26.3,21.5,81,1,100,29.17,rain,,,,18.4,279,1012.7,64.7,8.7,148.6,13,5,,2014-10-01T06:08:58,2014-10-01T18:12:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-02,32,22.4,25.9,35.8,22.4,27.3,22.8,84.2,10,100,4.17,rain,,,,18.4,236.7,1013.2,74.4,8.9,162.2,14,6,,2014-10-02T06:08:50,2014-10-02T18:12:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-03,31.7,22,26.4,35.5,22,27.8,22.6,81.1,1.9,100,41.67,rain,,,,11.2,236,1013.3,61.8,9.7,244,21.1,9,,2014-10-03T06:08:42,2014-10-03T18:11:33,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-04,32,23,26.1,39.2,23,27.7,23.4,86,0.4,100,16.67,rain,,,,18.4,291.8,1011.8,84.5,9,219.9,19.1,9,,2014-10-04T06:08:35,2014-10-04T18:11:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-05,31.9,22.7,25.8,36.7,22.7,27.2,23.2,86.6,2,100,4.17,rain,,,,18.4,222,1011.7,83.1,9.1,186.3,16.3,6,,2014-10-05T06:08:27,2014-10-05T18:10:34,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-06,30.6,22,25.9,34.3,22,27.5,22.8,84.4,0,0,0,,,,,18.4,236,1012.6,77.5,9.7,259.1,22.4,9,,2014-10-06T06:08:20,2014-10-06T18:10:06,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-07,30,22.1,25.6,34.2,22.1,26.8,22.9,85.9,1.1,100,16.67,rain,,,,14.8,320.5,1012.7,70.1,9.1,238.8,20.6,8,,2014-10-07T06:08:14,2014-10-07T18:09:37,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-08,32,22.2,26.2,36.8,22.2,27.8,23,84.2,1.3,100,29.17,rain,,,,14.8,252.5,1012.1,62.3,9.1,261.9,22.6,9,,2014-10-08T06:08:07,2014-10-08T18:09:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-09,32.1,22,26.5,36.9,22,28.3,22.9,82.2,0,0,0,,,,,21.6,213.8,1011.3,62.2,10,252.2,21.8,9,,2014-10-09T06:08:02,2014-10-09T18:08:41,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-10,33,22.4,26.7,38.1,22.4,28.7,23.1,82.3,0.2,100,4.17,rain,,,,14.8,218.8,1011.4,58,9.6,287,24.8,10,,2014-10-10T06:07:56,2014-10-10T18:08:14,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-11,32,23,26.3,36.9,23,28.2,23.1,83.7,0,0,0,,,,,37.1,250.8,1011.9,82,9.6,248.5,21.5,9,,2014-10-11T06:07:51,2014-10-11T18:07:48,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-12,32,22.6,26.2,36.8,22.6,27.6,22.9,83.5,5,100,4.17,rain,,,,14.8,312.1,1012.8,81,9.4,212.9,18.4,8,,2014-10-12T06:07:47,2014-10-12T18:07:21,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-13,31,22.8,25.9,35.5,22.8,27.3,23,85.1,1.1,100,25,rain,,,,14.8,221.5,1013.2,87,9,138.5,12,5,,2014-10-13T06:07:43,2014-10-13T18:06:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-14,31.1,22.2,26.1,35.9,22.2,27.8,23,84.2,10,100,4.17,rain,,,,21.6,243.1,1013.9,81,9.6,228.1,19.7,8,,2014-10-14T06:07:39,2014-10-14T18:06:31,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-15,30.1,23,25.9,35.2,23,27.5,23.1,85.3,0.6,100,8.33,rain,,,,18.4,254,1013.7,79.5,9.2,213,18.6,8,,2014-10-15T06:07:36,2014-10-15T18:06:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-16,32,22.4,26.9,38,22.4,29.1,23.4,82.8,0.1,100,4.17,rain,,,,18.4,210.6,1012.2,67.3,9,276.9,23.8,9,,2014-10-16T06:07:33,2014-10-16T18:05:43,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-17,33,22.4,26.6,42,22.4,28.8,23.7,85,0.8,100,20.83,rain,,,,18.4,245.8,1011.8,60.4,9.6,273,23.7,9,,2014-10-17T06:07:31,2014-10-17T18:05:19,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-18,32.1,23.6,26.7,36.7,23.6,28.2,23,81.2,0.7,100,12.5,rain,,,,18.4,305.9,1011.9,65.6,9.3,259.2,22.4,9,,2014-10-18T06:07:30,2014-10-18T18:04:57,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-19,32.1,22.9,26.2,36.4,22.9,27.8,22.9,83.5,0.4,100,12.5,rain,,,,14.8,237.9,1012.2,66.6,8.9,270.4,23.2,9,,2014-10-19T06:07:29,2014-10-19T18:04:35,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-20,30,22.5,25.7,35.1,22.5,27.1,22.8,85,9,100,4.17,rain,,,,18.4,206.8,1012.3,74.4,9.2,237.4,20.5,8,,2014-10-20T06:07:29,2014-10-20T18:04:14,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-10-21,32.4,22.6,26.5,36.6,22.6,28,22.8,81.9,6,100,4.17,rain,,,,18.4,206.8,1012.3,72.8,9.3,266.1,22.9,10,,2014-10-21T06:07:29,2014-10-21T18:03:53,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
