name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2023-09-01,32.1,21.4,26.3,37.5,21.4,28.2,23.3,84.5,0,0,0,rain,0,0,27.4,14.8,207.1,1013.2,74.9,9.9,240.5,20.8,10,30,2023-09-01T06:13:50,2023-09-01T18:28:35,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-09-02,30.1,21.1,24.6,32.9,21.1,25.1,22.5,89.3,13.955,100,8.33,rain,0,0,32.8,22.3,260.3,1012.7,72.8,8.7,217.5,18.8,8,60,2023-09-02T06:13:42,2023-09-02T18:28:05,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-03,30.1,21.7,25.3,34.3,21.7,26.4,23,88,6.261,100,8.33,rain,0,0,35.3,29.5,212.3,1012.7,92.5,9.6,201.8,17.6,7,30,2023-09-03T06:13:34,2023-09-03T18:27:35,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-04,30.2,21.4,25.3,33.9,21.4,26.4,22.5,85.6,7.297,100,4.17,rain,0,0,25.9,14.3,218.6,1013.9,80.8,10.9,219.4,18.9,8,30,2023-09-04T06:13:25,2023-09-04T18:27:05,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-05,31.4,21.3,25.3,36.5,21.3,26.6,22.3,84.5,2.1,100,8.33,rain,0,0,30.2,18.4,234.5,1013.6,73.9,14.5,266.1,23,9,30,2023-09-05T06:13:16,2023-09-05T18:26:34,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-06,28.6,21.3,24.8,32.5,21.3,25.7,22.5,87.9,0.652,100,4.17,rain,0,0,25.6,11.2,241.1,1013.3,67.4,10.9,140.4,12.1,8,30,2023-09-06T06:13:07,2023-09-06T18:26:03,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-07,32,21.7,26,36.3,21.7,27.3,22.9,85,0,0,0,rain,0,0,19.1,11.2,224.1,1013,64.6,10.5,240.7,20.9,10,30,2023-09-07T06:12:57,2023-09-07T18:25:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-09-08,34.1,21.4,26.7,39.5,21.4,28.7,23.3,83.2,0.1,100,4.17,rain,0,0,27.4,18.4,226.2,1013.2,71.7,11.9,202.9,17.4,10,60,2023-09-08T06:12:48,2023-09-08T18:25:00,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-09,33.1,22.6,26.6,38.2,22.6,28.3,23.1,82.8,0.553,100,4.17,rain,0,0,29.5,14.8,215.4,1013.4,86.5,8.8,168.2,14.4,8,30,2023-09-09T06:12:38,2023-09-09T18:24:28,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,65563099999"
ivory coast,2023-09-10,31.1,23.1,25.5,35.6,23.1,26.7,23.4,88.9,82.198,100,12.5,rain,0,0,24.8,14.3,236.4,1014.5,78.2,9.3,230.7,19.8,9,30,2023-09-10T06:12:28,2023-09-10T18:23:56,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,65563099999"
ivory coast,2023-09-11,32.1,21.7,25.8,36.9,21.7,27.4,23,86,0.4,100,4.17,rain,0,0,19.8,14.8,254.5,1013.1,62,11.9,284.8,24.7,9,30,2023-09-11T06:12:19,2023-09-11T18:23:24,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-12,32.6,21.1,25.7,39,21.1,27.4,23.5,88.7,23.263,100,8.33,rain,0,0,23,33.5,217.1,1011.8,75.4,9.3,234.8,20.2,9,60,2023-09-12T06:12:09,2023-09-12T18:22:52,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-13,27.9,21.1,24,30.6,21.1,24.5,21.8,88.7,10.295,100,8.33,rain,0,0,29.2,14.8,161,1011.5,95.6,9.9,242.9,20.9,9,60,2023-09-13T06:11:58,2023-09-13T18:22:20,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-14,29.1,22.4,25.2,34,22.4,26.3,23.4,90,0.004,100,4.17,rain,0,0,29.2,11.2,212,1011.4,82.3,11.3,134.3,11.6,9,60,2023-09-14T06:11:48,2023-09-14T18:21:47,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-15,31.1,22.3,25.9,37.9,22.3,27.6,23.8,88.8,0,0,0,rain,0,0,24.5,11.2,212.2,1012.2,83.3,10.8,246.2,21.3,9,60,2023-09-15T06:11:38,2023-09-15T18:21:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-09-16,31.3,21.9,25.9,36.7,21.9,27.4,23.5,87.5,0.963,100,4.17,rain,0,0,28.1,18.4,207.9,1012.3,78.2,10.3,282.8,24.5,10,60,2023-09-16T06:11:28,2023-09-16T18:20:42,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-17,30.9,22.3,26,36.2,22.3,27.5,23.3,85.9,0.197,100,8.33,rain,0,0,28.4,18.4,215.3,1012.1,69.6,9.9,217.3,18.8,9,60,2023-09-17T06:11:18,2023-09-17T18:20:09,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-18,30.1,22.1,25.3,35.2,22.1,26.5,23.5,90.3,22.923,100,8.33,rain,0,0,29.5,14.8,201.6,1011.3,88.1,10.2,229.2,19.9,9,60,2023-09-18T06:11:07,2023-09-18T18:19:37,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-19,30.1,22.5,25.3,35.2,22.5,26.7,23.4,89.8,10.3,100,37.5,rain,0,0,25.6,14.8,208.2,1011.7,84.7,14.6,271.8,23.6,10,60,2023-09-19T06:10:57,2023-09-19T18:19:04,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
